Country,2017CO2Emissions,PercentofWorldEmissions,PerCapitaEmissions,GDP(US$Million),PerCapitaGDP(Thousands),EnergyConsumptionPerCapita(Watts),KilowattsPerCapita,Nation,HDI
Albania,5.026,0.01,1.7,5181,5.18,1065.9,1.07,Albania,0.795
Algeria,159.929,0.43,3.9,3368,3.37,1658.9,1.66,Algeria,0.748
Angola,30.876,0.08,1.0,1896,1.9,871.9,0.87,Angola,0.581
Argentina,209.968,0.57,4.7,8476,8.48,2522.5,2.52,Argentina,0.845
Armenia,4.832,0.01,1.6,4266,4.27,1290.5,1.29,Armenia,0.776
Australia,402.253,1.08,16.5,55823,55.82,7437.7,7.44,Australia,0.944
Austria,72.249,0.19,8.3,48106,48.11,5216.2,5.22,Austria,0.922
Azerbaijan,32.544,0.09,3.3,4202,4.2,1962.5,1.96,Azerbaijan,0.756
Bahrain,35.775,0.1,24.0,19925,19.93,13542.6,13.54,Bahrain,0.852
Bangladesh,84.546,0.23,0.5,2001,2.0,286.9,0.29,Bangladesh,0.632
Belarus,62.34,0.17,6.6,6377,6.38,3836.4,3.84,Belarus,0.823
Belgium,104.221,0.28,9.1,45028,45.03,6708.9,6.71,Belgium,0.931
Benin,7.097,0.02,0.6,1254,1.25,523.8,0.52,Benin,0.545
Bolivia,20.462,0.06,1.9,3133,3.13,1045.8,1.05,Bolivia,0.718
Bosnia and Herzegovina,25.618,0.07,7.3,6035,6.04,2247.4,2.25,Bosnia and Herzegovina,0.78
Botswana,7.913,0.02,3.5,6711,6.71,1462.4,1.46,Botswana,0.735
Brazil,492.791,1.33,2.4,6797,6.8,1914.3,1.91,Brazil,0.765
Brunei,6.711,0.02,15.7,27437,27.44,9842.9,9.84,Brunei,0.838
Bulgaria,49.568,0.13,7.0,10058,10.06,3098.7,3.1,Bulgaria,0.816
Cambodia,10.56,0.03,0.7,1513,1.51,527.5,0.53,Cambodia,0.594
Cameroon,9.768,0.03,0.4,1502,1.5,440.3,0.44,Cameroon,0.563
Canada,617.301,1.66,16.9,43560,43.56,9589.0,9.59,Canada,0.929
Chile,90.325,0.24,5.0,13232,13.23,2930.6,2.93,Chile,0.851
China,10877.218,29.34,7.7,10229,10.23,2964.1,2.96,China,0.761
Colombia,74.954,0.2,1.5,5333,5.33,890.0,0.89,Colombia,0.767
Congo,5.514,0.01,1.0,1830,1.83,740.0,0.74,Congo,0.48
Costa Rica,8.138,0.02,1.7,12077,12.08,1370.0,1.37,Costa Rica,0.81
Croatia,17.466,0.05,4.2,13934,13.93,2415.1,2.42,Croatia,0.851
Cuba,31.277,0.08,2.7,9478,9.48,1372.5,1.37,Cuba,0.783
Cyprus,7.035,0.02,6.0,28133,28.13,2251.5,2.25,Cyprus,0.887
Czech Republic,109.756,0.3,10.3,22911,22.91,5312.2,5.31,Czech Republic,0.9
Denmark,33.573,0.09,5.9,61477,61.48,4136.9,4.14,Denmark,0.94
Dominican Republic,23.111,0.06,2.1,7268,7.27,973.7,0.97,Dominican Republic,0.756
Ecuador,39.507,0.11,2.4,5600,5.6,1304.4,1.3,Ecuador,0.759
Egypt,258.668,0.7,2.7,3609,3.61,1178.3,1.18,Egypt,0.707
El Salvador,7.857,0.02,1.2,3799,3.8,923.3,0.92,El Salvador,0.673
Estonia,17.89,0.05,13.7,23106,23.11,6155.4,6.16,Estonia,0.892
Ethiopia,14.9,0.04,0.1,840,0.84,675.0,0.68,Ethiopia,0.485
Finland,46.846,0.13,8.5,48685,48.69,8087.9,8.09,Finland,0.938
France Monaco,338.193,0.91,5.2,38959,38.96,5112.4,5.11,France Monaco,0.901
Gabon,6.564,0.02,3.2,6789,6.79,1910.4,1.91,Gabon,0.703
Georgia,11.558,0.03,3.0,3984,3.98,1374.2,1.37,Georgia,0.812
Germany,796.529,2.15,9.7,45909,45.91,5149.4,5.15,Germany,0.947
Ghana,18.626,0.05,0.6,2206,2.21,457.5,0.46,Ghana,0.611
Greece,72.145,0.19,6.5,18117,18.12,2841.3,2.84,Greece,0.888
