Country,2017CO2Emissions,PercentofWorldEmissions,PerCapitaEmissions,GDP(US$Million)
World,37077.404,100.00%,4.9,10949.0
Afghanistan,11.422,0.03%,0.3,508.0
Albania,5.026,0.01%,1.7,5181.0
Algeria,159.929,0.43%,3.9,3368.0
Angola,30.876,0.08%,1.0,1896.0
Anguilla,0.028,0.00%,1.9,17226.0
Antigua and Barbuda,0.624,0.00%,6.1,13993.0
Argentina,209.968,0.57%,4.7,8476.0
Armenia,4.832,0.01%,1.6,4266.0
Aruba,0.959,0.00%,9.1,23386.0
Australia,402.253,1.08%,16.5,55823.0
Austria,72.249,0.19%,8.3,48106.0
Azerbaijan,32.544,0.09%,3.3,4202.0
Bahamas,2.997,0.01%,7.6,25194.0
Bahrain,35.775,0.10%,24.0,19925.0
Bangladesh,84.546,0.23%,0.5,2001.0
Barbados,3.172,0.01%,11.1,15449.0
Belarus,62.34,0.17%,6.6,6377.0
Belgium,104.221,0.28%,9.1,45028.0
Belize,0.44,0.00%,1.2,3988.0
Benin,7.097,0.02%,0.6,1254.0
Bermuda,0.429,0.00%,7.0,123945.0
Bhutan,1.454,0.00%,1.8,3218.0
Bolivia,20.462,0.06%,1.9,3133.0
Bosnia and Herzegovina,25.618,0.07%,7.3,6035.0
Botswana,7.913,0.02%,3.5,6711.0
Brazil,492.791,1.33%,2.4,6797.0
British Virgin Islands,0.149,0.00%,4.8,49357.0
Brunei,6.711,0.02%,15.7,27437.0
Bulgaria,49.568,0.13%,7.0,10058.0
Burkina Faso,3.399,0.01%,0.2,831.0
Burundi,0.289,0.00%,0.0,286.0
Cambodia,10.56,0.03%,0.7,1513.0
Cameroon,9.768,0.03%,0.4,1502.0
Canada,617.301,1.66%,16.9,43560.0
Cape Verde,0.955,0.00%,1.7,3064.0
Cayman Islands,0.493,0.00%,8.0,95191.0
Central African Republic,0.486,0.00%,0.1,481.0
Chad,0.925,0.00%,0.1,679.0
Chile,90.325,0.24%,5.0,13232.0
China,10877.218,29.34%,7.7,10229.0
Colombia,74.954,0.20%,1.5,5333.0
Comoros,0.206,0.00%,0.3,1421.0
Congo,5.514,0.01%,1.0,1830.0
Cook Islands,0.047,0.00%,2.7,16135.0
Costa Rica,8.138,0.02%,1.7,12077.0
Croatia,17.466,0.05%,4.2,13934.0
Cuba,31.277,0.08%,2.7,9478.0
Curaçao,7.519,0.02%,46.8,15819.0
Cyprus,7.035,0.02%,6.0,28133.0
Czech Republic,109.756,0.30%,10.3,22911.0
Democratic Republic of the Congo,3.496,0.01%,0.0,506.0
Denmark,33.573,0.09%,5.9,61477.0
Djibouti,1.014,0.00%,1.1,3465.0
Dominica,0.122,0.00%,1.7,7038.0
Dominican Republic,23.111,0.06%,2.1,7268.0
East Timor,0.422,0.00%,0.3,1443.0
Ecuador,39.507,0.11%,2.4,5600.0
Egypt,258.668,0.70%,2.7,3609.0
El Salvador,7.857,0.02%,1.2,3799.0
Equatorial Guinea,2.469,0.01%,1.9,7143.0
Eritrea,0.737,0.00%,0.1,588.0
Estonia,17.89,0.05%,13.7,23106.0
Eswatini,1.247,0.00%,0.9,3306.0
Ethiopia,14.9,0.04%,0.1,840.0
Fiji,1.44,0.00%,1.6,5013.0
Finland,46.846,0.13%,8.5,48685.0
France Monaco,338.193,0.91%,5.2,38959.0
French Polynesia,0.636,0.00%,2.2,20707.0
Gabon,6.564,0.02%,3.2,6789.0
Georgia,11.558,0.03%,3.0,3984.0
Germany,796.529,2.15%,9.7,45909.0
Ghana,18.626,0.05%,0.6,2206.0
Greece,72.145,0.19%,6.5,18117.0
Greenland,0.518,0.00%,9.2,55139.0
Grenada,0.28,0.00%,2.6,9273.0
Guatemala,17.76,0.05%,1.1,4332.0
Guinea,2.731,0.01%,0.2,1179.0
Guinea-Bissau,0.409,0.00%,0.2,668.0
Guyana,1.771,0.00%,2.3,6956.0
Haiti,3.521,0.01%,0.3,1360.0
Honduras,10.562,0.03%,1.1,2406.0
Hong Kong,44.715,0.12%,6.1,46611.0
Hungary,50.856,0.14%,5.2,16129.0
Iceland,4.097,0.01%,12.2,63644.0
India,2454.774,6.62%,1.8,1931.0
Indonesia,511.327,1.38%,1.9,3870.0
Iran,671.45,1.81%,8.3,11183.0
Iraq,199.296,0.54%,5.2,4146.0
Ireland,38.914,0.10%,8.2,86251.0
Israel,66.916,0.18%,8.0,47034.0
Italy San Marino Vatican City,361.176,0.97%,6.1,31238.0
Ivory Coast,12.505,0.03%,0.5,2318.0
Jamaica,7.546,0.02%,2.6,4665.0
Japan,1320.776,3.56%,10.4,39990.0
Jordan,24.565,0.07%,2.5,4283.0
Kazakhstan,266.207,0.72%,14.6,9111.0
Kenya,18.594,0.05%,0.4,1879.0
Kiribati,0.03,0.00%,0.3,1515.0
Kuwait,97.151,0.26%,23.5,24809.0
Kyrgyzstan,11.18,0.03%,1.8,1186.0
Laos,2.818,0.01%,0.4,2623.0
Latvia,8.049,0.02%,4.1,17871.0
Lebanon,23.102,0.06%,3.8,9310.0
Lesotho,0.754,0.00%,0.3,1061.0
Liberia,1.129,0.00%,0.2,491.0
Libya,57.584,0.16%,9.0,4243.0
Lithuania,15.311,0.04%,5.3,20772.0
Luxembourg,9.54,0.03%,16.4,117182.0
Macau,1.28,0.00%,2.1,37474.0
Madagascar,4.156,0.01%,0.2,470.0
Malawi,1.572,0.00%,0.1,615.0
Malaysia,258.783,0.70%,8.2,10402.0
Maldives,0.964,0.00%,2.2,6924.0
Mali,0.951,0.00%,0.1,856.0
Malta,1.876,0.01%,4.4,33771.0
Mauritania,2.962,0.01%,0.7,1702.0
Mauritius,3.993,0.01%,3.2,8587.0
Mexico,507.183,1.37%,3.9,8326.0
Moldova,8.263,0.02%,2.0,2954.0
Mongolia,25.747,0.07%,8.4,4007.0
Morocco,61.584,0.17%,1.7,3108.0
Mozambique,7.754,0.02%,0.3,449.0
Myanmar,28.462,0.08%,0.5,1292.0
Namibia,4.299,0.01%,1.7,4215.0
Nepal,8.218,0.02%,0.3,1135.0
Netherlands,174.77,0.47%,10.3,53334.0
New Caledonia,5.912,0.02%,21.4,34006.0
New Zealand,36.795,0.10%,7.8,43972.0
Nicaragua,5.919,0.02%,1.0,1905.0
Niger,2.497,0.01%,0.1,568.0
Nigeria,94.847,0.26%,0.5,2085.0
North Korea,37.774,0.10%,1.5,618.0
North Macedonia,8.049,0.02%,3.9,5886.0
Norway,52.492,0.14%,10.0,66871.0
Oman,78.421,0.21%,16.9,12409.0
Pakistan,197.297,0.53%,1.0,1167.0
Palau,1.411,0.00%,64.9,14567.0
Panama,12.256,0.03%,3.0,12269.0
Papua New Guinea,4.351,0.01%,0.5,2640.0
Paraguay,6.535,0.02%,1.0,4950.0
Peru,55.931,0.15%,1.7,6163.0
Philippines,137.154,0.37%,1.3,3299.0
Poland,319.028,0.86%,8.4,15764.0
Portugal,56.771,0.15%,5.5,22413.0
Puerto Rico,2.164,0.01%,0.6,36052.0
Qatar,97.787,0.26%,37.1,50815.0
Romania,81.131,0.22%,4.1,12929.0
Russia,1764.866,4.76%,12.3,10166.0
Rwanda,1.106,0.00%,0.1,798.0
Saint Kitts and Nevis,0.238,0.00%,4.3,17434.0
Saint Lucia,0.364,0.00%,2.0,8805.0
Saint Vincent and the Grenadines,0.179,0.00%,1.6,7298.0
Samoa,0.147,0.00%,0.7,3890.0
São Tomé and Príncipe,0.157,0.00%,0.8,2174.0
Saudi Arabia,638.762,1.72%,19.4,20110.0
Senegal,9.689,0.03%,0.6,1458.0
