Country,2017CO2Emissions,PercentofWorldEmissions,PerCapitaEmissions,GDP(US$Million),PerCapitaGDP(Thousands),EnergyConsumptionPerCapita(Watts),KilowattsPerCapita
Albania,5.026,0.01,1.7,5181,5.18,1065.9,1.07
Algeria,159.929,0.43,3.9,3368,3.37,1658.9,1.66
Angola,30.876,0.08,1,1896,1.90,871.9,0.87
Argentina,209.968,0.57,4.7,8476,8.48,2522.5,2.52
Armenia,4.832,0.01,1.6,4266,4.27,1290.5,1.29
Australia,402.253,1.08,16.5,55823,55.82,7437.7,7.44
Austria,72.249,0.19,8.3,48106,48.11,5216.2,5.22
Azerbaijan,32.544,0.09,3.3,4202,4.20,1962.5,1.96
Bahrain,35.775,0.1,24,19925,19.93,13542.6,13.54
Bangladesh,84.546,0.23,0.5,2001,2.00,286.9,0.29
Belarus,62.34,0.17,6.6,6377,6.38,3836.4,3.84
Belgium,104.221,0.28,9.1,45028,45.03,6708.9,6.71
Benin,7.097,0.02,0.6,1254,1.25,523.8,0.52
Bolivia,20.462,0.06,1.9,3133,3.13,1045.8,1.05
Bosnia and Herzegovina,25.618,0.07,7.3,6035,6.04,2247.4,2.25
Botswana,7.913,0.02,3.5,6711,6.71,1462.4,1.46
Brazil,492.791,1.33,2.4,6797,6.80,1914.3,1.91
Brunei,6.711,0.02,15.7,27437,27.44,9842.9,9.84
Bulgaria,49.568,0.13,7,10058,10.06,3098.7,3.10
Cambodia,10.56,0.03,0.7,1513,1.51,527.5,0.53
Cameroon,9.768,0.03,0.4,1502,1.50,440.3,0.44
Canada,617.301,1.66,16.9,43560,43.56,9589,9.59
Chile,90.325,0.24,5,13232,13.23,2930.6,2.93
China,10877.218,29.34,7.7,10229,10.23,2964.1,2.96
Colombia,74.954,0.2,1.5,5333,5.33,890,0.89
Congo,5.514,0.01,1,1830,1.83,740,0.74
Costa Rica,8.138,0.02,1.7,12077,12.08,1370,1.37
Croatia,17.466,0.05,4.2,13934,13.93,2415.1,2.42
Cuba,31.277,0.08,2.7,9478,9.48,1372.5,1.37
Cyprus,7.035,0.02,6,28133,28.13,2251.5,2.25
Czech Republic,109.756,0.3,10.3,22911,22.91,5312.2,5.31
Democratic Republic of the Congo,3.496,0.01,0,506,0.51,389.1,0.39
Denmark,33.573,0.09,5.9,61477,61.48,4136.9,4.14
Dominican Republic,23.111,0.06,2.1,7268,7.27,973.7,0.97
Ecuador,39.507,0.11,2.4,5600,5.60,1304.4,1.30
Egypt,258.668,0.7,2.7,3609,3.61,1178.3,1.18
El Salvador,7.857,0.02,1.2,3799,3.80,923.3,0.92
Estonia,17.89,0.05,13.7,23106,23.11,6155.4,6.16
Ethiopia,14.9,0.04,0.1,840,0.84,675,0.68
Finland,46.846,0.13,8.5,48685,48.69,8087.9,8.09
France Monaco,338.193,0.91,5.2,38959,38.96,5112.4,5.11
Gabon,6.564,0.02,3.2,6789,6.79,1910.4,1.91
Georgia,11.558,0.03,3,3984,3.98,1374.2,1.37
Germany,796.529,2.15,9.7,45909,45.91,5149.4,5.15
Ghana,18.626,0.05,0.6,2206,2.21,457.5,0.46
Greece,72.145,0.19,6.5,18117,18.12,2841.3,2.84
Guatemala,17.76,0.05,1.1,4332,4.33,1022,1.02
Haiti,3.521,0.01,0.3,1360,1.36,523.5,0.52
Honduras,10.562,0.03,1.1,2406,2.41,882,0.88
Hong Kong,44.715,0.12,6.1,46611,46.61,2580.7,2.58
Hungary,50.856,0.14,5.2,16129,16.13,3036.1,3.04
Iceland,4.097,0.01,12.2,63644,63.64,24201.2,24.20
India,2454.774,6.62,1.8,1931,1.93,806.9,0.81
Indonesia,511.327,1.38,1.9,3870,3.87,1132,1.13
Iran,671.45,1.81,8.3,11183,11.18,3941.5,3.94
Iraq,199.296,0.54,5.2,4146,4.15,1952.6,1.95
Ireland,38.914,0.1,8.2,86251,86.25,3781.4,3.78
Israel,66.916,0.18,8,47034,47.03,3955.3,3.96
Italy San Marino Vatican City,361.176,0.97,6.1,31238,31.24,3434.3,3.43
Ivory Coast,12.505,0.03,0.5,2318,2.32,805.9,0.81
Jamaica,7.546,0.02,2.6,4665,4.67,1442.7,1.44
Japan,1320.776,3.56,10.4,39990,39.99,4753.7,4.75
Jordan,24.565,0.07,2.5,4283,4.28,1426,1.43
Kazakhstan,266.207,0.72,14.6,9111,9.11,6373,6.37
Kenya,18.594,0.05,0.4,1879,1.88,654.7,0.65
Kuwait,97.151,0.26,23.5,24809,24.81,12991.1,12.99
Kyrgyzstan,11.18,0.03,1.8,1186,1.19,919.2,0.92
Latvia,8.049,0.02,4.1,17871,17.87,2874.8,2.87
Lebanon,23.102,0.06,3.8,9310,9.31,1780.3,1.78
Libya,57.584,0.16,9,4243,4.24,3609.8,3.61
Lithuania,15.311,0.04,5.3,20772,20.77,3137.6,3.14
Luxembourg,9.54,0.03,16.4,117182,117.18,9732.9,9.73
Malaysia,258.783,0.7,8.2,10402,10.40,4020.6,4.02
Malta,1.876,0.01,4.4,33771,33.77,4020.6,4.02
Mexico,507.183,1.37,3.9,8326,8.33,2058,2.06
Moldova,8.263,0.02,2,2954,2.95,1148.5,1.15
Mongolia,25.747,0.07,8.4,4007,4.01,2431.7,2.43
Morocco,61.584,0.17,1.7,3108,3.11,751.4,0.75
Mozambique,7.754,0.02,0.3,449,0.45,542.4,0.54
Myanmar,28.462,0.08,0.5,1292,1.29,416.4,0.42
Namibia,4.299,0.01,1.7,4215,4.22,988.4,0.99
Nepal,8.218,0.02,0.3,1135,1.14,492.2,0.49
Netherlands,174.77,0.47,10.3,53334,53.33,6131.7,6.13
New Zealand,36.795,0.1,7.8,43972,43.97,5846.9,5.85
Nicaragua,5.919,0.02,1,1905,1.91,790.4,0.79
Nigeria,94.847,0.26,0.5,2085,2.09,1029.2,1.03
North Korea,37.774,0.1,1.5,618,0.62,773,0.77
North Macedonia,8.049,0.02,3.9,5886,5.89,1796.7,1.80
Norway,52.492,0.14,10,66871,66.87,8572.6,8.57
Oman,78.421,0.21,16.9,12409,12.41,8297.9,8.30
Pakistan,197.297,0.53,1,1167,1.17,632.2,0.63
Panama,12.256,0.03,3,12269,12.27,1407.9,1.41
Paraguay,6.535,0.02,1,4950,4.95,1017.4,1.02
Peru,55.931,0.15,1.7,6163,6.16,943.1,0.94
Philippines,137.154,0.37,1.3,3299,3.30,608.6,0.61
Poland,319.028,0.86,8.4,15764,15.76,3415.6,3.42
Portugal,56.771,0.15,5.5,22413,22.41,2773.1,2.77
Qatar,97.787,0.26,37.1,50815,50.82,25456.8,25.46
Romania,81.131,0.22,4.1,12929,12.93,2119.8,2.12
Russia,1764.866,4.76,12.3,10166,10.17,6780.9,6.78
Saudi Arabia,638.762,1.72,19.4,20110,20.11,8472.2,8.47
Senegal,9.689,0.03,0.6,1458,1.46,347.5,0.35
Singapore,55.018,0.15,9.6,58114,58.11,6435.2,6.44
Slovakia,37.855,0.1,6.9,19264,19.26,4231.6,4.23
