CountryOrTerritory,GDP(US$Million)
United States,20893746
China,14722801
Japan,5057759
Germany,3846414
United Kingdom,2764198
India,2664749
France,2630318
Italy,1888709
Canada,1644037
South Korea,1637896
Russia,1483498
Brazil,1444733
Australia,1423473
Spain,1281485
Mexico,1073439
Indonesia,1058424
Iran,939316
Netherlands,913865
Saudi Arabia,700118
Switzerland,752248
Turkey,720098
Taiwan,669324
Poland,596618
Sweden,541064
Belgium,521861
Thailand,501795
Ireland,425889
Austria,433258
Nigeria,429899
Israel,407101
Argentina,383067
Norway,362522
South Africa,302141
United Arab Emirates,358869
Denmark,356085
Egypt,369309
Philippines,361489
Singapore,339988
Malaysia,336664
Hong Kong,349445
Vietnam,271158
Bangladesh,329484
Chile,252940
Colombia,271347
Finland,269751
Romania,248716
Pakistan,257829
Czech Republic,245349
Portugal,228539
New Zealand,212044
Peru,203196
Greece,188835
Iraq,166757
Kazakhstan,171082
Ukraine,155582
Hungary,155808
Qatar,146401
Algeria,147689
Kuwait,105949
Morocco,114724
Slovakia,105173
Kenya,101014
Cuba,107352
Puerto Rico,103138
Ecuador,98808
Ethiopia,96611
Dominican Republic,78845
Luxembourg,73353
Guatemala,77605
Sri Lanka,80677
Oman,63368
Bulgaria,69888
Ghana,68532
Angola,62307
Tanzania,64740
Ivory Coast,61143
Myanmar,70284
Belarus,60259
Uzbekistan,57707
Lebanon,63546
Croatia,57204
Lithuania,56547
Costa Rica,61521
Slovenia,53590
Serbia,53335
Panama,52938
Uruguay,53629
DR Congo,45308
Turkmenistan,42845
Azerbaijan,42607
Jordan,43697
Venezuela,106359
Cameroon,39881
Uganda,38702
Tunisia,39218
Bahrain,33904
Bolivia,36573
Latvia,33707
Paraguay,35304
Estonia,30650
Sudan,62057
Nepal,33079
Macau,24333
El Salvador,24639
Senegal,24412
Libya,29153
Cyprus,24612
Papua New Guinea,23619
Honduras,23828
Cambodia,25291
Zimbabwe,21787
Iceland,21718
Zambia,18111
Bosnia and Herzegovina,19801
Trinidad and Tobago,21393
Haiti,15505
Afghanistan,19793
Burkina Faso,17369
Mali,17332
Yemen,27958
Laos,19082
Gabon,15111
Benin,15205
Georgia,15892
Botswana,15782
Palestine,15561
Albania,14910
Guinea,15490
Malta,14911
North Korea,15847
Mozambique,14029
Brunei,12003
Niger,13741
Syria,15572
Jamaica,13812
Mongolia,13137
Madagascar,13008
North Macedonia,12264
Armenia,12641
Nicaragua,12621
Congo,10100
Equatorial Guinea,10022
Moldova,11914
Chad,11154
Namibia,10710
Malawi,11762
Mauritius,10921
Bahamas,9908
Rwanda,10332
New Caledonia,9709
Mauritania,7916
Kosovo,7734
Togo,7146
Kyrgyzstan,7736
Tajikistan,7997
Bermuda,7719
Guyana,5471
Liechtenstein,6872
Monaco,6816
Cayman Islands,6256
Guam,
French Polynesia,5817
Montenegro,4789
Somalia,1873
Barbados,4440
Fiji,4494
Maldives,3743
Eswatini,3835
Sierra Leone,3787
Djibouti,3423
Liberia,2481
South Sudan,15903
Andorra,2864
Burundi,3399
Greenland,3130
Aruba,2497
Suriname,4120
Curaçao,2596
Central African Republic,2323
Bhutan,2483
Lesotho,2273
Eritrea,2084
Gambia,1830
Belize,1586
Cape Verde,1704
San Marino,1555
Zanzibar,1724
Saint Lucia,1617
East Timor,1902
Solomon Islands,1546
Guinea-Bissau,1315
British Virgin Islands,1492
Antigua and Barbuda,1370
Seychelles,1059
Comoros,1235
Northern Mariana Islands,
Grenada,1043
Vanuatu,855
Saint Kitts and Nevis,927
Turks and Caicos Islands,925
Sint Maarten,857
Samoa,772
Saint Vincent and the Grenadines,810
American Samoa,
Dominica,507
São Tomé and Príncipe,476
Tonga,491
Micronesia,403
Cook Islands,283
Anguilla,258
Marshall Islands,244
Kiribati,181
Palau,264
Nauru,135
Montserrat,68
Tuvalu,55
